#CLS_PREDICTION_ENTITY|MASK_PREDICTION_ENTITY|ACTUAL_ENTITY|CLS_PREDICTIONS|MASKED_PREDICTIONS|MASKED_WORD|SENTENCE
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 1)])|drug|lithium sodium potassium agents agent|titanium dental resin soft lithium|lithium|it has a simple application process and decreases the risk of damage to entity disilicate ceramics during debonding compared to conventional adhesive .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 1)])|drug|lithium sodium potassium agents agent|zirconia polyethylene titanium strontium methyl|lithium|on the other hand , entity disilicate and leucite have a lower wear resistance than zirconia , so additional caution is needed .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium sodium potassium agents agent|carbamazepine lamotrigine topiramate lithium phenytoin|lithium|mood stabilisers have been studied mostly in an open , uncontrolled fashion but there is growing evidence that entity , divalproex and carbamazepine are effective in treating pbd .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('DRUG', 4), ('OTHER', 2), ('DIS', 2)])|drug|lithium sodium potassium agents agent|metformin lps hgf nac rapamycin|lithium|entity significantly upregulated bcl-2 protein levels compared with the model group ( p <0 . 01 vs model group ) .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 4)])|drug|lithium sodium potassium agents agent|nutrient glutamate proton phosphate lysine|lithium|vacuolar amino acid transporter avt5p is responsible for entity uptake in schizosaccharomyces pombe .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 3)])|drug|lithium sodium potassium agents agent|gapdh rapamycin sirna dexamethasone testosterone|lithium|( a ) western analysis shows treatment with dkk-1 decreases and treatment with entity increases beta-catenin protein level compared with gapdh as a loading control .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 2)])|drug|lithium sodium potassium agents agent|gabapentin aripiprazole topiramate lamotrigine quetiapine|lithium|ifn-induced mania may respond to antipsychotics , gabapentin [ 27 ] , and / or entity [ 28 ] .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 2)])|drug|lithium sodium potassium agents agent|manganese zinc cobalt iron copper|lithium|the free radicals ( fusinite and entity phthalocyanine ) are very stable in tissues ( for at least 150 days ) , apparently nontoxic , and can reflect oxygen concentrations that are
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DIS', 2), ('DRUG', 2)])|drug|lithium sodium potassium agents agent|tau chloroquine simvastatin colchicine dexamethasone|lithium|thus , the reduction in tau phosphorylation at t 181 observed under our experimental conditions with entity treatment could be attributed to a lower amount of p25-cdk5 .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('DRUG', 4), ('OTHER', 2)])|drug|lithium sodium potassium agents agent|potassium sodium lithium methylene cobalt|lithium|other less specific gsk3-β inhibitors including entity chloride and sb 216763 were tested , and similar results were obtained ( supplemental figure 6 ) .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5)])|drug|lithium sodium potassium agents agent|heparin remaining artificial commercial fresh|lithium|blood from the remaining entity heparin tube and the k 2 edta tube were then centrifuged immediately at 1500× g and 4°c for 10 min , aspirated
