#CLS_PREDICTION_ENTITY|MASK_PREDICTION_ENTITY|ACTUAL_ENTITY|CLS_PREDICTIONS|MASKED_PREDICTIONS|MASKED_WORD|SENTENCE
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium sodium potassium agents agent|lithium valproate carbamazepine lamotrigine phenytoin|lithium|is being evaluated as a monotherapy and in the iti-007-402 trial , lumateperone is being evaluated as an adjunctive therapy with entity or valproate .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5)])|drug|lithium sodium potassium agents agent|antidepressants benzodiazepines opioids antipsychotics medications|lithium|current drug therapy for bipolar disorder includes the use of entity and anti-depressants .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5)])|drug|lithium sodium potassium agents agent|antidepressants antipsychotics benzodiazepines steroids medications|lithium|mood-stabilizing drugs can treat bipolar symptoms when they are present , including entity and anticonvulsants , such as valproic acid and lamotrigine .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5)])|drug|lithium sodium potassium agents agent|dispensed containing sales sold purchased|lithium|retail sales of energizers entity and rechargeable products increased 22% in the quarter while our price-oriented product sales declined 12% .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 1)])|drug|lithium sodium potassium agents agent|inactive unknown safe cytotoxic anticonvulsant|lithium|to date , the only drug that interacted with zs-9 is entity .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5)])|drug|lithium sodium potassium agents agent|commercial alternative popular national whose|lithium|mr . friess and mr . schwartz sold most of their shares of pisv for $275 , 000 and pisv became china entity technologies inc . listed on the otcbb symbol ( cltt ) .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5)])|drug|lithium sodium potassium agents agent|adequately mechanically electrically poorly externally|lithium|chairman of cardiac pacemakers , inc . , a company founded by mr . villafana to develop , manufacture and market a new generation of entity powered pacemakers .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 3)])|drug|lithium sodium potassium agents agent|battery ion lithium electrochemical potassium|lithium|the e-go is an all-electric vehicle powered by advanced entity batteries .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 3)])|drug|lithium sodium potassium agents agent|lithium ion inorganic organic metallic|lithium|inc . , a company that is engaged in the manufacture , commercialization and distribution of a wide variety of standard and customized entity ion rechargeable batteries .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 1)])|drug|lithium sodium potassium agents agent|aripiprazole quetiapine olanzapine risperidone haloperidol|lithium|these adjunctive agents may include atypical antipsychotics , like aripiprazole and quetiapine , or other agents such as buproprion and entity .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('DRUG', 4), ('OTHER', 3), ('DIS', 2)])|drug|lithium sodium potassium agents agent|placebo etanercept azithromycin bupropion ketoconazole|lithium|in the last few years several academic research initiatives were conducted to explore the efficacy of approved drugs such as entity , varenicline ( chantix ® ) , riluzol and dalfampridine .
OrderedDict([('DRUG', 3), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium sodium potassium agents agent|lithium valproate carbamazepine lamotrigine topiramate|lithium|for the treatment of patients with depressive episodes associated with bipolar i disorder as monotherapy and as adjunctive therapy with entity or valproate , which expires in june 2016 .
