#CLS_PREDICTION_ENTITY|MASK_PREDICTION_ENTITY|ACTUAL_ENTITY|CLS_PREDICTIONS|MASKED_PREDICTIONS|MASKED_WORD|SENTENCE
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 4)])|drug|lithium valproate AND carbamazepine psychosis|lithium magnesium zinc silicon silver|lithium|it has a simple application process and decreases the risk of damage to entity disilicate ceramics during debonding compared to conventional adhesive .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 4), ('DRUG', 4)])|drug|lithium valproate AND carbamazepine psychosis|lithium magnesium zinc chromium titanium|lithium|on the other hand , entity disilicate and leucite have a lower wear resistance than zirconia , so additional caution is needed .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('DRUG', 4), ('OTHER', 3)])|drug|lithium valproate AND carbamazepine psychosis|valproate olanzapine lithium gabapentin fluoxetine|lithium|mood stabilisers have been studied mostly in an open , uncontrolled fashion but there is growing evidence that entity , divalproex and carbamazepine are effective in treating pbd .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|lithium valproate AND carbamazepine psychosis|HFD HGF EA TSA LPS|lithium|entity significantly upregulated bcl-2 protein levels compared with the model group ( p <0 . 01 vs model group ) .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium valproate AND carbamazepine psychosis|glycine ammonia proline glutamine leucine|lithium|vacuolar amino acid transporter avt5p is responsible for entity uptake in schizosaccharomyces pombe .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 4), ('DRUG', 1)])|drug|lithium valproate AND carbamazepine psychosis|doxycycline GDNF FAK VEGF Cx43|lithium|( a ) western analysis shows treatment with dkk-1 decreases and treatment with entity increases beta-catenin protein level compared with gapdh as a loading control .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 4), ('DRUG', 4)])|drug|lithium valproate AND carbamazepine psychosis|olanzapine lithium valproate haloperidol fluoxetine|lithium|ifn-induced mania may respond to antipsychotics , gabapentin [ 27 ] , and / or entity [ 28 ] .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 3)])|drug|lithium valproate AND carbamazepine psychosis|tin ferric copper zinc manganese|lithium|the free radicals ( fusinite and entity phthalocyanine ) are very stable in tissues ( for at least 150 days ) , apparently nontoxic , and can reflect oxygen concentrations that are
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 4)])|drug|lithium valproate AND carbamazepine psychosis|chloroquine PMA ethanol melatonin rapamycin|lithium|thus , the reduction in tau phosphorylation at t 181 observed under our experimental conditions with entity treatment could be attributed to a lower amount of p25-cdk5 .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 4)])|drug|lithium valproate AND carbamazepine psychosis|lithium magnesium gadolinium chloroquine tin|lithium|other less specific gsk3-β inhibitors including entity chloride and sb 216763 were tested , and similar results were obtained ( supplemental figure 6 ) .
