#CLS_PREDICTION_ENTITY|MASK_PREDICTION_ENTITY|ACTUAL_ENTITY|CLS_PREDICTIONS|MASKED_PREDICTIONS|MASKED_WORD|SENTENCE
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('DRUG', 4), ('OTHER', 4)])|drug|lithium valproate AND carbamazepine psychosis|lithium carbamazepine phenobarbital valproate phenytoin|lithium|is being evaluated as a monotherapy and in the iti-007-402 trial , lumateperone is being evaluated as an adjunctive therapy with entity or valproate .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 4), ('DIS', 2)])|drug|lithium valproate AND carbamazepine psychosis|lithium antipsychotics benzodiazepines antidepressants antidepressant|lithium|current drug therapy for bipolar disorder includes the use of entity and anti-depressants .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 4), ('DIS', 1)])|drug|lithium valproate AND carbamazepine psychosis|lithium benzodiazepines antipsychotics antidepressants valproate|lithium|mood-stabilizing drugs can treat bipolar symptoms when they are present , including entity and anticonvulsants , such as valproic acid and lamotrigine .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|lithium valproate AND carbamazepine psychosis|medicines generic marketed affordable expensive|lithium|retail sales of energizers entity and rechargeable products increased 22% in the quarter while our price-oriented product sales declined 12% .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 5), ('BIO', 1), ('DIS', 1)])|drug|lithium valproate AND carbamazepine psychosis|paclitaxel docetaxel bortezomib metformin gemcitabine|lithium|to date , the only drug that interacted with zs-9 is entity .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|lithium valproate AND carbamazepine psychosis|alb ma ed po lat|lithium|mr . friess and mr . schwartz sold most of their shares of pisv for $275 , 000 and pisv became china entity technologies inc . listed on the otcbb symbol ( cltt ) .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|lithium valproate AND carbamazepine psychosis|electrically externally powered battery specially|lithium|chairman of cardiac pacemakers , inc . , a company founded by mr . villafana to develop , manufacture and market a new generation of entity powered pacemakers .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|lithium valproate AND carbamazepine psychosis|battery electrical electric lithium electrochemical|lithium|the e-go is an all-electric vehicle powered by advanced entity batteries .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 1), ('DIS', 1)])|drug|lithium valproate AND carbamazepine psychosis|lithium heavy magnesium dual dry|lithium|inc . , a company that is engaged in the manufacture , commercialization and distribution of a wide variety of standard and customized entity ion rechargeable batteries .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('DRUG', 4), ('OTHER', 3)])|drug|lithium valproate AND carbamazepine psychosis|olanzapine fluoxetine lithium naltrexone gabapentin|lithium|these adjunctive agents may include atypical antipsychotics , like aripiprazole and quetiapine , or other agents such as buproprion and entity .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('DRUG', 4), ('OTHER', 3)])|drug|lithium valproate AND carbamazepine psychosis|fluoxetine gabapentin lithium olanzapine clozapine|lithium|in the last few years several academic research initiatives were conducted to explore the efficacy of approved drugs such as entity , varenicline ( chantix ® ) , riluzol and dalfampridine .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 4), ('DRUG', 4)])|drug|lithium valproate AND carbamazepine psychosis|lithium olanzapine haloperidol carbamazepine fluoxetine|lithium|for the treatment of patients with depressive episodes associated with bipolar i disorder as monotherapy and as adjunctive therapy with entity or valproate , which expires in june 2016 .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|lithium valproate AND carbamazepine psychosis|electrically externally battery powered optimally|lithium|( now a division of guidant corporation ) , a company founded by mr . villafaña to develop , manufacture and market a new generation of entity powered pacemakers .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 4), ('DRUG', 3)])|drug|lithium valproate AND carbamazepine psychosis|lithium monotherapy carbamazepine olanzapine fluoxetine|lithium|in the iti-007-402 trial , patients receive lumateperone or placebo adjunctive to their existing mood stabilizer entity or valproate .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 1), ('DIS', 1)])|drug|lithium valproate AND carbamazepine psychosis|lithium electrochemical counter magnesium dry|lithium|and as director to aug 2015 where he led a team of scientists and entrepreneurs for the development of solid-state entity ion battery for electric vehicles and smart grid applications .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 1), ('DIS', 1)])|drug|lithium valproate AND carbamazepine psychosis|lithium heavy dry magnesium electrochemical|lithium|the car is all-electric and powered by advanced entity ion batteries .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 4)])|drug|lithium valproate AND carbamazepine psychosis|lipids hormones vitamins ketones sugars|lithium|· with further investment , other patches can be developed which are able to measure alternative analytes , including lactates , uric acid , entity and drugs .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|lithium valproate AND carbamazepine psychosis|batteries battery electrodes cycling electronics|lithium|recently , higher power , higher priced entity and rechargeable batteries have grown in response to more demanding power needs of more advanced devices .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 4), ('DRUG', 3)])|drug|lithium valproate AND carbamazepine psychosis|lithium monotherapy olanzapine carbamazepine gabapentin|lithium|abilify®  in february , the fda approved abilify as an adjunct to mood stabilizers entity or valproate for the maintenance treatment of bipolar i disorder .
OrderedDict([('OTHER', 5), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 1), ('DIS', 1)])|drug|lithium valproate AND carbamazepine psychosis|magnesium battery electric lithium alkali|lithium|the u . s . retail battery category is defined as alkaline , carbon zinc , entity , rechargeable and specialty batteries .
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 4), ('DIS', 1)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|propofol fentanyl magnesium dexmedetomidine bupivacaine|vecuronium|( sugammadex ) injection 100 mg / ml was approved by the fda for the reversal of neuromuscular blockade induced by rocuronium bromide and entity bromide in adults undergoing surgery .
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|magnesium fentanyl atropine propofol salbutamol|vecuronium|is specifically designed to reverse the effects of certain muscle relaxants , marketed in the united states as zemuron ( r ) ( rocuronium bromide ) and entity bromide .
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('OTHER', 5), ('DRUG', 2)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|polyvinyl Am lithium magnesium vinyl|vecuronium|we initiated a recall of a batch of entity bromide , a product we 43 market on behalf of a third party , in february 2001 due to concerns with filtration-testing
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|lidocaine paclitaxel vancomycin methotrexate morphine|vecuronium|the first u . s . regulatory approvals on products that are difficult to produce , such as etoposide ( with gll ) , bleomycin , pancuronium and entity .
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('OTHER', 5)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|author spons proceed subm approval|vecuronium|the company is manufacturing and marketing entity bromide prior to expiration of the patent covering this product pursuant to a licensing arrangement .
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 2), ('DIS', 1)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|metformin calcitonin ibuprofen doxycycline magnesium|vecuronium|nevzat ilac sanayii a . s . , a subsidiary of amgen , inc . , ( mn ) to acquire the rights to three products : methylprednsilone sodium succinate , entity and pamidronate disodium .
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 4), ('DIS', 1)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|propofol fentanyl dexmedetomidine bupivacaine magnesium|vecuronium|in december 2015 , the fda approved bridion for the reversal of neuromuscular blockade induced by rocuronium bromide and entity bromide in adults undergoing surgery .
OrderedDict([('OTHER', 4), ('DRUG', 2)])|OrderedDict([('DRUG', 5), ('OTHER', 3)])|drug|sevoflurane neuromuscular bupivacaine intraoperatively Versus|bupivacaine propofol fentanyl lidocaine midazolam|vecuronium|of a clinical trial site for sugammadex , mercks investigational medicine for the reversal of neuromuscular blockade induced by rocuronium or entity .
