#CLS_PREDICTION_ENTITY|MASK_PREDICTION_ENTITY|ACTUAL_ENTITY|CLS_PREDICTIONS|MASKED_PREDICTIONS|MASKED_WORD|SENTENCE
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium aluminum zinc aluminium nickel|lithium|it has a simple application process and decreases the risk of damage to entity disilicate ceramics during debonding compared to conventional adhesive .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 3), ('DRUG', 3)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium aluminum aluminium potassium barium|lithium|on the other hand , entity disilicate and leucite have a lower wear resistance than zirconia , so additional caution is needed .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium valproate lamotrigine aripiprazole olanzapine|lithium|mood stabilisers have been studied mostly in an open , uncontrolled fashion but there is growing evidence that entity , divalproex and carbamazepine are effective in treating pbd .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|dexamethasone simvastatin curcumin atorvastatin metformin|lithium|entity significantly upregulated bcl-2 protein levels compared with the model group ( p <0 . 01 vs model group ) .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|valine glycine arginine leucine glutamine|lithium|vacuolar amino acid transporter avt5p is responsible for entity uptake in schizosaccharomyces pombe .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|ly294002 fgf2 pten genistein wortmannin|lithium|( a ) western analysis shows treatment with dkk-1 decreases and treatment with entity increases beta-catenin protein level compared with gapdh as a loading control .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 3), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium valproate lamotrigine carbamazepine topiramate|lithium|ifn-induced mania may respond to antipsychotics , gabapentin [ 27 ] , and / or entity [ 28 ] .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 3)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|zinc copper cobalt aluminum potassium|lithium|the free radicals ( fusinite and entity phthalocyanine ) are very stable in tissues ( for at least 150 days ) , apparently nontoxic , and can reflect oxygen concentrations that are
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium donepezil vpa simvastatin atorvastatin|lithium|thus , the reduction in tau phosphorylation at t 181 observed under our experimental conditions with entity treatment could be attributed to a lower amount of p25-cdk5 .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 4)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium ammonium gadolinium cadmium cobalt|lithium|other less specific gsk3-β inhibitors including entity chloride and sb 216763 were tested , and similar results were obtained ( supplemental figure 6 ) .
