#CLS_PREDICTION_ENTITY|MASK_PREDICTION_ENTITY|ACTUAL_ENTITY|CLS_PREDICTIONS|MASKED_PREDICTIONS|MASKED_WORD|SENTENCE
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium carbamazepine lamotrigine phenobarbital valproate|lithium|is being evaluated as a monotherapy and in the iti-007-402 trial , lumateperone is being evaluated as an adjunctive therapy with entity or valproate .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 4), ('DIS', 3), ('OTHER', 3)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium antidepressants antipsychotics neuroleptics stimulants|lithium|current drug therapy for bipolar disorder includes the use of entity and anti-depressants .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 2), ('DIS', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium antidepressants antipsychotics benzodiazepines valproate|lithium|mood-stabilizing drugs can treat bipolar symptoms when they are present , including entity and anticonvulsants , such as valproic acid and lamotrigine .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|generic sold purchased tablets pharmaceuticals|lithium|retail sales of energizers entity and rechargeable products increased 22% in the quarter while our price-oriented product sales declined 12% .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 4), ('OTHER', 3), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|linezolid clozapine doxycycline carbamazepine minocycline|lithium|to date , the only drug that interacted with zs-9 is entity .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|medicinal patent biomedical healthcare pharmaceutical|lithium|mr . friess and mr . schwartz sold most of their shares of pisv for $275 , 000 and pisv became china entity technologies inc . listed on the otcbb symbol ( cltt ) .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|electrically battery internally externally mechanically|lithium|chairman of cardiac pacemakers , inc . , a company founded by mr . villafana to develop , manufacture and market a new generation of entity powered pacemakers .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium battery electrochemical ceramic semiconductor|lithium|the e-go is an all-electric vehicle powered by advanced entity batteries .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium potassium monovalent titanium battery|lithium|inc . , a company that is engaged in the manufacture , commercialization and distribution of a wide variety of standard and customized entity ion rechargeable batteries .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 3), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|bupropion risperidone olanzapine clozapine topiramate|lithium|these adjunctive agents may include atypical antipsychotics , like aripiprazole and quetiapine , or other agents such as buproprion and entity .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 5), ('DIS', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|bupropion donepezil nicotine memantine levodopa|lithium|in the last few years several academic research initiatives were conducted to explore the efficacy of approved drugs such as entity , varenicline ( chantix ® ) , riluzol and dalfampridine .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium carbamazepine lamotrigine quetiapine risperidone|lithium|for the treatment of patients with depressive episodes associated with bipolar i disorder as monotherapy and as adjunctive therapy with entity or valproate , which expires in june 2016 .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|electrically internally externally battery implantable|lithium|( now a division of guidant corporation ) , a company founded by mr . villafaña to develop , manufacture and market a new generation of entity powered pacemakers .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium carbamazepine lamotrigine quetiapine aripiprazole|lithium|in the iti-007-402 trial , patients receive lumateperone or placebo adjunctive to their existing mood stabilizer entity or valproate .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 4)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium battery potassium cobalt fluoride|lithium|and as director to aug 2015 where he led a team of scientists and entrepreneurs for the development of solid-state entity ion battery for electric vehicles and smart grid applications .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium potassium ceramic battery titanium|lithium|the car is all-electric and powered by advanced entity ion batteries .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 4), ('DIS', 2)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|bilirubin electrolytes creatinine vitamins lipids|lithium|· with further investment , other patches can be developed which are able to measure alternative analytes , including lactates , uric acid , entity and drugs .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|batteries battery disposable lithium portable|lithium|recently , higher power , higher priced entity and rechargeable batteries have grown in response to more demanding power needs of more advanced devices .
OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 5), ('DIS', 1)])|drug|lithium lamotrigine antidepressant carbamazepine antidepressants|lithium carbamazepine lamotrigine quetiapine phenobarbital|lithium|abilify®  in february , the fda approved abilify as an adjunct to mood stabilizers entity or valproate for the maintenance treatment of bipolar i disorder .
