#CLS_PREDICTION_ENTITY|MASK_PREDICTION_ENTITY|ACTUAL_ENTITY|CLS_PREDICTIONS|MASKED_PREDICTIONS|MASKED_WORD|SENTENCE
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium carbonate sodium potassium fumarate|lithium sodium alumina aluminum magnesium|lithium|it has a simple application process and decreases the risk of damage to entity disilicate ceramics during debonding compared to conventional adhesive .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium carbonate sodium potassium fumarate|lithium sodium aluminum alumina silicon|lithium|on the other hand , entity disilicate and leucite have a lower wear resistance than zirconia , so additional caution is needed .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4), ('DIS', 1)])|drug|lithium carbonate sodium potassium fumarate|lithium gabapentin olanzapine fluoxetine benzodiazepines|lithium|mood stabilisers have been studied mostly in an open , uncontrolled fashion but there is growing evidence that entity , divalproex and carbamazepine are effective in treating pbd .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 3)])|drug|lithium carbonate sodium potassium fumarate|minocycline lps ketamine egcg nac|lithium|entity significantly upregulated bcl-2 protein levels compared with the model group ( p <0 . 01 vs model group ) .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 4)])|drug|lithium carbonate sodium potassium fumarate|leucine arginine sodium nutrient glucose|lithium|vacuolar amino acid transporter avt5p is responsible for entity uptake in schizosaccharomyces pombe .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 1)])|drug|lithium carbonate sodium potassium fumarate|wnt3a e2 dexamethasone pioglitazone lps|lithium|( a ) western analysis shows treatment with dkk-1 decreases and treatment with entity increases beta-catenin protein level compared with gapdh as a loading control .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 4), ('OTHER', 4), ('DIS', 2)])|drug|lithium carbonate sodium potassium fumarate|lithium benzodiazepines antidepressants stimulants naltrexone|lithium|ifn-induced mania may respond to antipsychotics , gabapentin [ 27 ] , and / or entity [ 28 ] .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium carbonate sodium potassium fumarate|sodium lithium sulfur cobalt silicon|lithium|the free radicals ( fusinite and entity phthalocyanine ) are very stable in tissues ( for at least 150 days ) , apparently nontoxic , and can reflect oxygen concentrations that are
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 2), ('DIS', 1)])|drug|lithium carbonate sodium potassium fumarate|ngf cdk5 antisense bdnf nmda|lithium|thus , the reduction in tau phosphorylation at t 181 observed under our experimental conditions with entity treatment could be attributed to a lower amount of p25-cdk5 .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 3), ('DIS', 1)])|drug|lithium carbonate sodium potassium fumarate|lithium sodium potassium gadolinium propidium|lithium|other less specific gsk3-β inhibitors including entity chloride and sb 216763 were tested , and similar results were obtained ( supplemental figure 6 ) .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 3), ('OTHER', 3)])|drug|lithium carbonate sodium potassium fumarate|lithium sodium k2 potassium k3|lithium|blood from the remaining entity heparin tube and the k 2 edta tube were then centrifuged immediately at 1500× g and 4°c for 10 min , aspirated
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 1)])|drug|lithium carbonate sodium potassium fumarate|certified disposable commercial cobalt electrochemical|lithium|each transmitter contains a 3v , 130-mah ( 0 . 39 wh ) entity manganese dioxide battery ( iec cr1632 ) and circuit board that are fully encapsulated in epoxy .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 2)])|drug|lithium carbonate sodium potassium fumarate|sulfur resistant secondary inorganic chromium|lithium|the 5 th cycle , the discharging process was paused at 2 . 1 v ( vs . li + / li ) where the generation of soluble entity polysulfides is maximum .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 2)])|drug|lithium carbonate sodium potassium fumarate|lithium sodium edta plain plastic|lithium|whole blood was drawn into entity heparin tubes from the inferior vena cava , and plasma was collected by centrifuging blood at 2700 g for 10 minutes
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 4)])|drug|lithium carbonate sodium potassium fumarate|pentobarbital ethanol ketamine propofol glutamate|lithium|se was induced in p21 rats by injection of entity and pilocarpine .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 1)])|drug|lithium carbonate sodium potassium fumarate|linear lateral lithium its lith|lithium|due to the anisotropic lithiation rate ( entity invasion in the direction is 6 . 4 times faster than that in the direction 11 ) , the expansion is
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 2)])|drug|lithium carbonate sodium potassium fumarate|sodium ammonium polyvinyl potassium lithium|lithium|among the eluents tested , entity chloride gave the best separation of nitrate from bromide .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 5), ('DRUG', 3)])|drug|lithium carbonate sodium potassium fumarate|bicarbonate nitrite chloride phosphate sulfate|lithium|it was estimated that the entity ion had the least potential for ion-pair formation with nitrate , and its retention time was prolonged compared with the retention
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('DRUG', 5), ('OTHER', 3)])|drug|lithium carbonate sodium potassium fumarate|sodium lithium ethyl ammonium ferric|lithium|yeast cells were transformed by the entity acetate-polyethylene glycol method .
OrderedDict([('DRUG', 4), ('OTHER', 3)])|OrderedDict([('OTHER', 4), ('DRUG', 4)])|drug|lithium carbonate sodium potassium fumarate|celecoxib metformin curcumin bevacizumab wnt|lithium|laboratory studies show that entity , an activator of the wnt / ß-catenin signaling pathway , slows melanoma progression , but to our knowledge no published epidemiologic studies have explored
OrderedDict([('OTHER', 5), ('DRUG', 1), ('DIS', 1)])|OrderedDict([('DRUG', 5), ('OTHER', 4), ('DIS', 1)])|drug|neuromuscular relax fentanyl tracheal nerve|fentanyl sevoflurane isoflurane propofol ketamine|vecuronium|[ 4 ] generally , propofol and thiopentone are commonly used for induction of anesthesia and succinylcholine or entity is used as nmb for endotracheal intubation .
OrderedDict([('OTHER', 5), ('DRUG', 1), ('DIS', 1)])|OrderedDict([('DRUG', 4), ('OTHER', 4), ('DIS', 1)])|drug|neuromuscular relax fentanyl tracheal nerve|fentanyl propofol midazolam atropine morphine|vecuronium|in order to increase lung compliance and improve ventilation the patient was paralyzed with entity at 1 mcg / kg / min .
